"enemy_id","name","current_hp","recommended_hp","hp_ratio","current_hits","target_hits","base_damage_p50_weighted","estimated_player_level_weighted","dominant_stage_depth","dominant_stage","appearances","role_notes","tags"
"bake_kinoko","化けキノコ","10","22","2.2","1.92","4.2","5.21","2.2","ST1","星くずのダンジョン","ST1 ST2 ST3 AS1","small+soft","small,soft,plant"
"magnet_bat","磁力コウモリ","12","26","2.17","2.4","5.3","5","6","JK1","ジャンク魔窟","JK1 JK2 JK3 AS2","small+hard","metal,small,hard"
"gold_rat","金食いネズミ","10","21","2.1","2","4.2","5","6.4","JK1","ジャンク魔窟","JK1 JK2 JK3 AS2","small+soft","money,small,soft"
"magnetic_field_bat","磁場コウモリ","20","40","2","2.53","5.3","7.92","10.9","SC3","星核洞","SC1 SC2 SC3 AS3 AS4","small+hard","metal,small,hard"
"sabobon","サボボン","28","55","1.96","3.41","6.8","8.2","12.4","AS5","不可思議の迷宮","AS4 AS5 AS6 AS7","heavy+hard","spike,heavy,plant,hard,pointed"
"the_obake","ザ・おばけ","24","45","1.88","3.23","5.8","7.42","11.9","AS6","不可思議の迷宮","AS4 AS5 AS6","resist","magic"
"ji_obake","ジ・おばけ","36","65","1.81","3.15","5.8","11.41","16.4","AS8","不可思議の迷宮","AS7 AS8 AS9","resist","magic"
"sabosabon","サボサボン","42","75","1.79","3.73","6.8","11.26","17.7","AS9","不可思議の迷宮","AS7 AS8 AS9","heavy+hard","spike,heavy,plant,hard,pointed"
"poison_frog","毒ゲコ","16","27","1.69","2.29","3.8","7","8.6","AS3","不可思議の迷宮","SC1 SC2 SC3 AS3","small+soft+ranged","poison,small,soft,elastic"
"angel_slug","ナメクジ天使","24","40","1.67","2.39","4.2","10.04","11.3","SC1","星核洞","SC1 SC2 SC3 AS3 AS4","small+soft","magic,small,soft,elastic"
"thorn_slime","トゲスライム","12","20","1.67","2.57","4.2","4.67","3.1","AS1","不可思議の迷宮","ST3 AS1","small+soft","small,spike,soft,elastic,slime"
"drain_mana_leech","吸魔ヒル","24","40","1.67","2.68","4.2","8.95","14.2","AS6","不可思議の迷宮","AS4 AS5 AS6 AS7 AS8 AS9","small+soft","magic,small,soft,elastic"
"heal_slug","癒しのナメクジ","13","21","1.62","2.6","4.2","5","6.4","JK1","ジャンク魔窟","JK1 JK2 JK3 AS2","small+soft","small,soft,elastic"
"big_shield_beetle","大盾カブト","28","45","1.61","5.45","9","5.14","6.7","JK3","ジャンク魔窟","JK1 JK2 JK3 AS2","shield+heavy+hard+resist","shield,heavy,hard,rugged"
"red_rust_slug","赤錆ナメクジ","25","40","1.6","2.6","4.2","9.61","11.8","SC1","星核洞","SC1 SC2 SC3 AS3 AS4 AS5 AS6 AS7 AS8","small+soft","small,soft,elastic"
"drill_hermit","削岩ヤドカリ","22","35","1.59","4.31","6.8","5.1","6.7","JK3","ジャンク魔窟","JK1 JK2 JK3 AS2","heavy+hard","earth,stone,heavy,hard,rugged,pointed"
"puni_slime","ぷにスライム","12","19","1.58","2.64","4.2","4.55","6","AS2","不可思議の迷宮","JK1 JK2 JK3 AS2","small+soft","small,soft,elastic,slime"
"great_treasure_crab","大秘宝ガニ","56","85","1.52","4.98","7.6","11.25","17.6","AS8","不可思議の迷宮","AS7 AS8 AS9","heavy+hard+resist","stone,heavy,treasure,hard,rugged"
"drill_hermit_plus","ドリルヤドカリ","34","50","1.47","4.81","6.8","7.06","10.3","AS3","不可思議の迷宮","SC1 SC2 SC3 AS3 AS4 AS5 AS6","heavy+hard","earth,stone,heavy,hard,rugged,pointed"
"ore_crab","鉱石ガニ","24","35","1.46","5.14","7.6","4.67","3.1","AS1","不可思議の迷宮","ST3 AS1","heavy+hard+resist","stone,heavy,hard,rugged"
"mimic","ミミック","38","55","1.45","3.98","6","9.54","11.9","SC2","星核洞","SC1 SC2 SC3 AS3 AS4 AS5 AS6 AS8","heavy","treasure,heavy"
"stormwind_owl","嵐風フクロウ","28","40","1.43","3.13","4.7","8.95","14.2","AS6","不可思議の迷宮","AS4 AS5 AS6 AS7 AS8 AS9","soft","wind,soft"
"fire_lizard","火吹きトカゲ","16","22","1.38","3.2","4.3","5","6.1","JK1","ジャンク魔窟","JK1 JK2 JK3 AS2","soft+ranged","fire,soft"
"tsuchinoko_bomber","ツチノコボマー","22","30","1.36","4.3","6","5.12","7.2","JK3","ジャンク魔窟","JK2 JK3 AS2","heavy","fire,heavy"
"flame_lizard","火炎トカゲ","26","35","1.35","3.28","4.3","7.92","10.9","SC3","星核洞","SC1 SC2 SC3 AS3 AS4","soft+ranged","fire,soft"
"hane_kinoko","跳ねキノコ","16","21","1.31","3.25","4.2","4.92","6.2","JK1","ジャンク魔窟","JK1 JK2 JK3 AS2","small+soft","small,soft,plant"
"swamp_geko","沼ゲコ","36","45","1.25","3.2","3.8","11.26","17.7","AS9","不可思議の迷宮","AS7 AS8 AS9","small+soft+ranged","poison,water,small,soft,elastic"
"charred_lizard","丸焦げトカゲ","40","50","1.25","3.55","4.3","11.26","17.7","AS9","不可思議の迷宮","AS7 AS8 AS9","soft+ranged","fire,soft"
"paralyze_geko","麻痺ゲコ","24","30","1.25","2.93","3.8","8.2","12.4","AS5","不可思議の迷宮","AS4 AS5 AS6 AS7","small+soft+ranged","small,soft,elastic"
"super_jet_jellyfish","大噴射くらげ","36","45","1.25","3.2","3.8","11.26","17.7","AS9","不可思議の迷宮","AS7 AS8 AS9","small+soft+ranged","water,small,soft,elastic"
"surprise_box","びっくり箱","24","30","1.25","4.8","6","5","6.9","JK3","ジャンク魔窟","JK1 JK2 JK3 AS2","heavy","treasure,heavy"
"jet_jellyfish","噴射くらげ","24","30","1.25","2.93","3.8","8.2","12.4","AS5","不可思議の迷宮","AS4 AS5 AS6 AS7","small+soft+ranged","water,small,soft,elastic"
"rust_slug","錆ナメクジ","16","19","1.19","3.46","4.2","4.62","6.2","JK2","ジャンク魔窟","JK2 JK3 AS2","small+soft","small,soft,elastic"
"goblin_chief","ゴブリン長","38","45","1.18","3.33","3.8","11.41","16.4","AS8","不可思議の迷宮","AS7 AS8 AS9","small+soft+ranged","weapon,small,soft"
"goblin_ace","ゴブリンエース","24","27","1.12","3.42","3.8","7.03","11.1","AS6","不可思議の迷宮","AS4 AS5 AS6","small+soft+ranged","small,soft"
"pandora_box","パンドラの箱","62","65","1.05","5.54","6","11.2","17.8","AS8","不可思議の迷宮","AS7 AS8 AS9","heavy","treasure,magic,heavy"
"gem_crab","宝石ガニ","36","35","0.97","7.78","7.6","4.62","6.2","JK2","ジャンク魔窟","JK2 JK3 AS2","heavy+hard+resist","stone,heavy,treasure,hard,rugged"
"sticky_spider","ねばりスパイダー","18","16","0.89","4.19","3.8","4.3","5.6","AS2","不可思議の迷宮","JK2 JK3 AS2","small+soft+ranged","small,soft"
"swordgrass_slime","剣山スライム","22","19","0.86","4.76","4.2","4.62","6.2","JK2","ジャンク魔窟","JK2 JK3 AS2","small+soft","small,spike,soft,elastic,slime"
